BILL OF MATERIALS,,,,
Component,Description,Base,Extra cost,Link
MCU,Seeed Studio XIAO ESP32-S3 Plus,$7.99 ,-,https://www.digikey.co.nz/en/products/detail/seeed-technology-co-ltd/102010671/26553873
DAC,PCM5102APWR,$4.43 ,-,https://www.digikey.co.nz/en/products/detail/texas-instruments/PCM5102APWR/3727211?s=N4IgTCBcDaIAoGECyBWAjABjAQTgdQCUQBdAXyA
AMP,MAX9722AEUE+,$1.52 ,-,https://www.digikey.co.nz/en/products/detail/analog-devices-inc-maxim-integrated/MAX9722AEUE/1495288
Potentio,PTN092-H50115K1A,$2.00 ,-,https://www.digikey.co.nz/en/products/detail/same-sky-formerly-cui-devices/PTN092-H50115K1A/24767692
Rotenc,EC11E18244A5,$4.85 ,-,https://www.digikey.co.nz/en/products/detail/alps-alpine/ec11e18244a5/21721665
Headphone jack,SJ1-3514N,$1.19 ,-,https://www.digikey.co.nz/en/products/detail/same-sky-formerly-cui-devices/sj1-3514n/738685
Cables,1007-20-1-2000-001-1-TD 25 feet,$11.87 ,-,https://www.digikey.co.nz/en/products/detail/cnc-tech/1007-20-1-2000-001-1-TD/17799227
Pin header (Components),20-0600-21,$7.66 ,-,https://www.digikey.co.nz/en/products/detail/aries-electronics/20-0600-21/4207162
Screw 1,97791003111,$2.24 ,-,https://www.digikey.co.nz/en/products/detail/w%C3%BCrth-elektronik/97791003111/10056389
Screw 2,97790603211,$2.58 ,-,https://www.digikey.co.nz/en/products/detail/w%C3%BCrth-elektronik/97790603211/10056392
 Tweezers 1,404070001,$2.50 ,-,https://www.digikey.co.nz/en/products/detail/seeed-technology-co-ltd/404070001/5488233
Tweezers 2,422,$3.95 ,$7.60 ,https://www.digikey.co.nz/en/products/detail/adafruit-industries-llc/422/7241434
,,,,
OLED,1.3 Inch Oled Module Witte Kleur 4 pin,$5.40 ,-,https://www.aliexpress.com/item/1005007451015054.html?spm=a2g0o.productlist.main.3.5c94BkFLBkFLwI&algo_pvid=c05ab788-0f62-4cac-8ecf-0ac50b96f1c8&algo_exp_id=c05ab788-0f62-4cac-8ecf-0ac50b96f1c8-2&pdp_ext_f=%7B%22order%22%3A%221408%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21NZD%215.36%211.68%21%21%213.15%210.99%21%402103247917505815500323989e2c7f%2112000040806152742%21sea%21NZ%216394433987%21ABX&curPageLogUid=4GgHuLqPJwAs&utparam-url=scene%3Asearch%7Cquery_from%3A
Button x2,Ultra Short Switch No LED 3-6V 16mm black momentary,$9.34 ,-,https://www.aliexpress.com/item/1005004920346156.html?spm=a2g0o.productlist.main.7.7f7d5f2722dp5N&algo_pvid=88ea1ebf-ed98-4122-ae48-2b34d2cbcef4&algo_exp_id=88ea1ebf-ed98-4122-ae48-2b34d2cbcef4-6&pdp_ext_f=%7B%22order%22%3A%221272%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21NZD%214.19%211.70%21%21%2117.53%217.11%21%402103247417506694259818233e29c3%2112000039500055503%21sea%21NZ%216394433987%21ABX&curPageLogUid=AdxbPFQrTg6S&utparam-url=scene%3Asearch%7Cquery_from%3A
